: extracted-ingredients	"oil","juice"
jonquil	jonquil_oil
rosemary	rosemary_oil
coconut	coconut_oil
radish	radish_oil
orange_flower	orange_flower_oil
ceylon_tea	ceylon_tea_oil
pennyroyal	pennyroyal_oil
laurel_leaf	laurel_leaf_oil
pinus_sylvestris	pinus_sylvestris_oil
oregano	oregano_oil
ceylon_citronella	ceylon_citronella_oil
cinnamon_leaf	cinnamon_leaf_oil
thymus	thymus_oil
buchu	buchu_oil
java_citronella	java_citronella_oil
chinese_star_anise	chinese_star_anise_oil
mint	mint_oil
cloudberry	cloudberry_oil
onion	onion_oil
burley_tobacco	burley_tobacco_oil
bay_laurel	bay_laurel_oil
ligusticum_acutilobum	ligusticum_acutilobum_oil
artemisia_frigida	artemisia_frigida_oil
grapefruit	grapefruit_oil
roman_chamomile	roman_chamomile_oil
lime	lime_oil
thuja_occidentalis	thuja_occidentalis_oil
camphor	camphor_oil
strawberry	strawberry_oil
pandanus_odoratissimus	pandanus_odoratissimus_oil
satsuma_mandarin_peel	satsuma_mandarin_peel_oil
jasminum_grandiflorum	jasminum_grandiflorum_oil
orthodon_methylisoeugenoliferum	orthodon_methylisoeugenoliferum_oil
spike	spike_oil
cinnamon	cinnamon_oil
corn_mint	corn_mint_oil
geranium	geranium_oil
tobacco_leaf	tobacco_leaf_oil
salmon	salmon_oil
litsea_odorifera	litsea_odorifera_oil
peanut	peanut_oil
calytrix_tetragona	calytrix_tetragona_oil
raspberry	raspberry_oil
backhousia_citriodora	backhousia_citriodora_oil
spanish_origanum	spanish_origanum_oil
star_anise	star_anise_oil
leaf	leaf_oil
israeli_orange	israeli_orange_oil
grapefruit_peel	grapefruit_peel_oil
lemon_peel	lemon_peel_oil
lemon	lemon_oil
rue	rue_oil
tangerine	tangerine_oil
bergamot	bergamot_oil
eryngium_poterium	eryngium_poterium_oil
soybean	soybean_oil
orange	orange_oil
lavender	lavender_oil
nutmeg	nutmeg_oil
tsuga_canadensis	tsuga_canadensis_oil
hinoki	hinoki_oil
vetiver	vetiver_oil
citrus_peel	citrus_peel_oil
olive	olive_oil
clary_sage	clary_sage_oil
butter	butter_oil
baeckea_citriodora	baeckea_citriodora_oil
japanese_hop	japanese_hop_oil
angelica_root	angelica_root_oil
litsea_cubeba	litsea_cubeba_oil
hop	hop_oil
acacia_farnesiana	acacia_farnesiana_oil
rose	rose_oil
lemongrass	lemongrass_oil
myrrh	myrrh_oil
citrus	citrus_oil
petitgrain_lime	petitgrain_lime_oil
basil	basil_oil
mandarin_peel	mandarin_peel_oil
artemisia_santolinifolia	artemisia_santolinifolia_oil
cherry	cherry_juice
passiflora_edulis	passiflora_edulis_juice
tomato	tomato_juice
blackberry	blackberry_juice
lemon	lemon_juice
lime	lime_juice
strawberry	strawberry_juice
lingonberry	lingonberry_juice
purple_passion_fruit	purple_passion_fruit_juice
raspberry	raspberry_juice
onion	onion_juice
grapefruit	grapefruit_juice
beet	beet_juice
fruit	fruit_juice
grape	grape_juice
elderberry	elderberry_juice
passion_fruit	passion_fruit_juice
vitis_labrusca	vitis_labrusca_juice
cabbage	cabbage_juice
berry	berry_juice
muscat_grape	muscat_grape_juice
yellow_passion_fruit	yellow_passion_fruit_juice
orange	orange_juice
tangerine	tangerine_juice
citrus	citrus_juice
black_currant	black_currant_juice
bitter_orange	bitter_orange_juice
apple	apple_juice
